Assunto,Categoria da Conversa,Palavras-chave,Informação
InfiniteLink,Informação,Taxas e Condições,"O InfiniteLink é o link de pagamento da InfinitePay e ele é a solução ideal para quem busca praticidade e expansão de negócios usando apenas o App InfinitePay.
Com o InfiniteLink, você gera um link de cobrança para seu cliente pagar em qualquer lugar do Brasil. Com o InfiniteLink você tem taxas pensadas para vender online com segurança. Por isso, as taxas do link de pagamento são diferentes da nossa InfiniteSmart e do InfiniteTap. Consulte ou simule as taxas do InfiniteLink no site: https://www.infinitepay.io/taxas"
InfiniteLink,Informação,Como Criar um Link de Pagamento,"Para criar um link de pagamento para seu cliente, você só precisa ter o App InfinitePay atualizado na última versão disponível. 

- Acesse o App InfinitePay
- Clique em ""Enviar Cobrança""
- Configure sua venda com valor, parcelas e bandeiras
- Pronto! 

Agora é só confirmar os dados da cobrança e compartilhar com seu cliente da maneira que achar melhor. 

Importante: Sempre que você criar um InfiniteLink e selecionar um novo número de parcelas, também ocorrerá a alteração das parcelas nos links que já foram enviados e que ainda não foram pagos por seus clientes.

"
InfiniteLink,Informação,Durabilidade de um Link,"O InfiniteLink ao ser criado ele não expira, a não ser que você utilize a ferramente de cobrança, o SuperCobra"
InfiniteLink,Informação,Integrações com E-commerce,Atualmente não temos integrações com e-commerces
InfiniteLink,Informação,Recorrências e Cobranças,"Para usar recorrência nos links de pagamentos ou boletos, utilize o SuperCobra"
SuperCobra ou Gestão de Cobrança,Informação,Encaminhar para Suporte (CSE),"Para maiores informações sobre o SuperCobra (gestão de cobranças) entre em contato diretamente com nosso time de suporte através de um chat no aplicativo InfinitePay, e-mail ajuda@infinitepay.io ou através de um chat dentro da Web Dashboard no site app.infinitepay.io."
Maquininha De Cartão (POS),Informação,Encaminhar para Suporte (CSE),"Para maiores informações sobre a maquininha de cartão entre em contato diretamente com nosso time de suporte através de um chat no aplicativo InfinitePay, e-mail ajuda@infinitepay.io ou através de um chat dentro da Web Dashboard no site app.infinitepay.io."
InfiniteCash,Informação,Encaminhar para Suporte (CSE),"Para maiores informações sobre o InfiniteCash (empréstimo) entre em contato diretamente com nosso time de suporte através de um chat no aplicativo InfinitePay, e-mail ajuda@infinitepay.io ou através de um chat dentro da Web Dashboard no site app.infinitepay.io."
InfiniteSavings,Informação,Encaminhar para Suporte (CSE),"Para maiores informações sobre o InfiniteSavings entre em contato diretamente com nosso time de suporte através de um chat no aplicativo InfinitePay, e-mail ajuda@infinitepay.io ou através de um chat dentro da Web Dashboard no site app.infinitepay.io."
InfiniteBank,Informação,Encaminhar para Suporte (CSE),"Para maiores informações sobre o InfiniteBank entre em contato diretamente com nosso time de suporte através de um chat no aplicativo InfinitePay, e-mail ajuda@infinitepay.io ou através de um chat dentro da Web Dashboard no site app.infinitepay.io."
Pix,Informação,Encaminhar para Suporte (CSE),"Para maiores informações sobre o Pix entre em contato diretamente com nosso time de suporte através de um chat no aplicativo InfinitePay, e-mail ajuda@infinitepay.io ou através de um chat dentro da Web Dashboard no site app.infinitepay.io."
Geral,Informação,Negociação de Taxas,Na InfinitePay não negociamos taxas dos pagamentos.
Geral,Informação,Soluções InfinitePay,A InfinitePay é uma empresa que oferece as melhores soluções de pagamento com muita tecnologia e atenção com nossos clientes
Geral,Informação,O que é a InfinitePay,"A InfinitePay é uma empresa focada em soluções de pagamentos para negócios, oferecendo uma variedade de produtos e serviços. Eles incluem maquininhas de cartão, um sistema que transforma celulares em maquininhas, e uma conta digital inteligente com cartão que oferece cashback. A InfinitePay também oferece o InfiniteLink, um serviço de link de pagamento, boletos gratuitos, planos de recebimento rápido e um serviço de gestão de cobranças chamado SuperCobra. Além disso, a empresa promove a inovação com o Tap to Pay no iPhone e fornece empréstimos para crescimento de negócios.

Para mais informações, visite o site da InfinitePay: https://www.infinitepay.io/"
Geral,Informação,Planos de Recebimento,"Os planos de recebimento que a InfinitePay trabalha hoje são:

- Um dia útil
- InfiniteNitro
- Receba na Hora

Tanto o InfiniteNitro quanto o Receba na Hora vão te pagar imediatamente, mas o InfiniteNitro você pode desativar e ativar quando quiser e o Receba Na Hora possui permanência mínima de 30 dias, flexibilizando as taxas. Veja mais a respeito no site: https://www.infinitepay.io/taxas"
Geral,Informação,Contato com suporte,"É possível entrar em contato com o suporte de pós-venda através de um chat no aplicativo InfinitePay, e-mail ajuda@infinitepay.io ou através de um chat dentro da Web Dashboard no site app.infinitepay.io."
Geral,Suporte,Cancelamento de conta,"Para cancelar sua conta, entre em contato diretamente com nosso time de suporte através de um chat no aplicativo InfinitePay, e-mail ajuda@infinitepay.io ou através de um chat dentro da Web Dashboard no site app.infinitepay.io."
Geral,Suporte,Download do aplicativo,Baixe o aplicativo agora mesmo! Visite www.infinitepay.io/app-infinitepay
